Item ID,Quotation ID,DO ID
6df4407a,cda6636f,cae17ced
e3c8b27d,14711cfd,
980441f4,14711cfd,
2d6a2b72,fc5589ff,c8b93cbb
9ef489a3,14711cfd,
5eb29140,7bd9399b,
426f5ff7,d3bdbd17,c6ff2870
da69d562,d3bdbd17,c6ff2870
2a48e36b,d3bdbd17,1d6d12c5
e6d499b7,d3bdbd17,1d6d12c5
5cc8af70,d3bdbd17,1d6d12c5
58fb4170,d3bdbd17,c6ff2870
93abd45e,d3bdbd17,dac3a50f
54e217f1,0e29525e,9eb02432
6906a6b7,0e29525e,9eb02432
3c0a155f,0e29525e,9eb02432
f892dafe,0e29525e,e2e12cda
283c6aa8,76220112,f0da4a70
28240f06,3143c1a4,1dfcb2d4
88ed16fd,d9238171,
901a34ff,ffbb13d1,7f75b5dc
9aecdb14,7a4dcde6,
5add5db6,7a4dcde6,
1397edf0,d5f5ecb8,
a9a58e41,f8f99b32,6c8a7455
3c6d1e18,09d4b3e1,722f7034
441fe331,09d4b3e1,ab2ea5c4
b4bbf440,09d4b3e1,440b5153
813f54e2,09d4b3e1,440b5153
0660ac0c,09d4b3e1,505ded89
bde56ea7,09d4b3e1,440b5153
930de317,09d4b3e1,440b5153
c21d200d,09d4b3e1,440b5153
b6f6ac0b,09d4b3e1,356f474d
5090d5ea,09d4b3e1,722f7034
04c5013a,09d4b3e1,722f7034
2a8184dd,09d4b3e1,84d55d07
f7330885,bc000adf,
25ec7d7b,bc000adf,
0c1b72aa,f4fe6ff4,7cad47b8
a4c782fa,f4fe6ff4,
2eebcd8c,f4fe6ff4,
d18922ba,f4fe6ff4,7cad47b8
3fee4415,fdb0e910,46475975
4fd23e96,fdb0e910,46475975
0e7d7b47,6e21eeec,
961f5958,6e21eeec,
c70216f9,1e9dcb0e,7cfa08de
ae57f168,1e9dcb0e,7cfa08de
64ee6729,ca3dd089,7ba1eb36
45cb0f61,ca3dd089,7ba1eb36
072e6ee6,ca3dd089,7ba1eb36
d08a11cd,ca3dd089,7ba1eb36
9ba7ba0a,ca3dd089,7ba1eb36
80996c89,4971f5ed,1cd86d3c
f0619a68,4971f5ed,0b3c0d6a
eb15da7c,4971f5ed,30ba0d38
017d0c06,4971f5ed,b92ac31a
6830a1a8,4971f5ed,b92ac31a
bc87dad7,4971f5ed,30ba0d38
8e9cdbb2,0ec522ee,c87c788c
0e7a441a,783b9126,58676506
ba6d1594,783b9126,2daf83bd
21001035,783b9126,2daf83bd
65b11a9b,1fddf80a,549ed0ab
65a8fcb0,1fddf80a,549ed0ab
cff6082e,783b9126,2daf83bd
9580687b,1fddf80a,a05b555a
f7bd0c3f,1fddf80a,1f6cd225
4b6bfdb8,fc0501b6,6186506b
3980804e,fe1b95b1,
6a4759b3,4971f5ed,30ba0d38
b7a769f6,d563af47,7df47353
4faff90d,d563af47,7df47353
77d9a06e,9064b2ce,f9f14345
1f696cae,783b9126,2daf83bd
ab35874f,3251bdfd,
b8bedf0f,d563af47,7df47353
85a6887a,3cd276da,eaedd6e3
d23f2674,3cd276da,eaedd6e3
350317c3,3cd276da,eaedd6e3
e5f077b5,3cd276da,eaedd6e3
5f5019d8,3cd276da,49bb6b48
23a985e0,3cd276da,d73b0047
2f3cee46,3cd276da,49bb6b48
2a6afd4b,3cd276da,eaedd6e3
cda4c060,3cd276da,eaedd6e3
1f7e7d75,3cd276da,49bb6b48
191cdb1a,3cd276da,d73b0047
47a260c8,3cd276da,49bb6b48
18959953,3cd276da,49bb6b48
d9a1e1b0,3cd276da,eaedd6e3
d953a9ca,3cd276da,49bb6b48
751647d1,3cd276da,49bb6b48
2c5a07d2,3cd276da,49bb6b48
27d225b4,3cd276da,49bb6b48
22cf4661,35c7e73c,
1da048c7,89791c50,8bab8369
c032f382,89791c50,8bab8369
b806e3af,35c7e73c,
5964f26c,9c4d8c2f,051276dd
5942b3ab,35c7e73c,
9ec5906c,35c7e73c,
4a82a65e,9c4d8c2f,051276dd
1ab03868,35c7e73c,
e0337366,35c7e73c,
421d4b47,35c7e73c,
52231a0c,35c7e73c,
196c317f,35c7e73c,
494b7b6d,f330997a,9cce5ea8
2c4dd70a,e9a16e92,
e4ce6f53,c3c939d6,1beacb04
9679d68d,3143c1a4,74b3862f
10de157f,c3c939d6,1beacb04
435033cf,3143c1a4,dbf097e4
677eaed1,3143c1a4,278dae44
3cab606d,c3c939d6,b3641f7b
9879746c,c3c939d6,b3641f7b
11b5f174,c3c939d6,1beacb04
dc1f8f46,c3c939d6,1beacb04
f773cf27,c3c939d6,1beacb04
7d6697e1,c3c939d6,1beacb04
ea5220a2,377a5c65,f32bdf70
02bf97d5,377a5c65,f32bdf70
c47f4dd7,377a5c65,f32bdf70
c3c75bb0,c3c939d6,1beacb04
0766848e,c3c939d6,1beacb04
b186bb95,c3c939d6,b3641f7b
6b03d0b7,c3c939d6,b3641f7b
d976ea02,c3c939d6,1beacb04
f2651e4c,c3c939d6,1beacb04
a8e8860a,c3c939d6,1beacb04
2a6c9591,c3c939d6,1beacb04
84332afa,c3c939d6,1beacb04
7db0551a,c3c939d6,b3641f7b
5a383093,9856c6c7,
6960861b,9856c6c7,
77edcc71,c3c939d6,b3641f7b
07050db3,c3c939d6,1beacb04
db456f5c,a596491e,7148dc6c
930a442b,c3c939d6,1beacb04
50b861ff,c3c939d6,b3641f7b
54e66e4e,bf82c3c0,e40ca79e
820da3e9,bf82c3c0,e40ca79e
72f81143,bf82c3c0,e40ca79e
cc079804,bf82c3c0,31954f6e
32e22b18,bf82c3c0,e40ca79e
96cd5f1f,bf82c3c0,e40ca79e
f8fd004a,bf82c3c0,e40ca79e
8270dcce,bf82c3c0,e40ca79e
3c7f63b9,20153194,
8b9f9932,f3e3e096,09a8b9fc
4b9088da,f3e3e096,384c5fe1
c650932a,f3e3e096,384c5fe1
b154abee,f3e3e096,09a8b9fc
aece0061,787db41b,
1fb03651,a596491e,7148dc6c
fdafc64e,bf82c3c0,486b394d
c19a3425,5e9b5962,
27b35290,bb35ab37,d75d5ecd
2bce57df,a596491e,7148dc6c
8a4b39b7,a596491e,7148dc6c
e842dc12,a596491e,7148dc6c
d4d3b279,a596491e,7148dc6c
b9ed31ca,a596491e,7148dc6c
e17d3b3f,a596491e,23b0df1c
3942b265,a596491e,7563ee71
ca98f376,a596491e,7563ee71
a6b6f94d,a596491e,7563ee71
3db83dd3,f942aea8,e6650a8a
7d00571e,f942aea8,e6650a8a
963dd87f,18b4fd12,c560de00
9f5c75ed,a596491e,7563ee71
b4cecb1f,a596491e,7563ee71
7b75bee1,18b4fd12,c560de00
7cb7f9f9,18b4fd12,
6d4940a5,18b4fd12,66699787
fec548a0,18b4fd12,b6626008
e4a06edc,a596491e,7563ee71
e25d8855,a596491e,7563ee71
33d620a7,a596491e,7563ee71
67cf7d64,a596491e,7563ee71
7c889ca4,a596491e,7563ee71
b99f5434,feed779a,e70e5d1b
27dc556e,a596491e,7563ee71
6807ed24,feed779a,e70e5d1b
bf333ab9,a596491e,7563ee71
e2472108,a596491e,7148dc6c
1543ee24,a596491e,7148dc6c
1e22a3d4,a596491e,7563ee71
60af7b16,a596491e,7563ee71
7ce16c35,a596491e,7563ee71
a039e905,a596491e,7563ee71
