PO Key,PO Date,Customer Key,Quotation ID,Sales Rep 1,PO Amt v2,GST Perc,GST Amt,Total aft GST
cd9877d9,10/1/2022 0:00,vwjM9hSH4s,d9238171,,0,,,
6cb2654a,11/1/2022 0:00,2mBWQiax6J,d3bdbd17,,5998.2,,,
75e0e647,12/1/2022 0:00,6460ff92,cda6636f,3E98Omn83X,785.2,,,
32daad68,13/1/2022 0:00,fEXeW6R1J3,1fddf80a,8X5EJG61Hk,881,,,
0bf6f902,13/1/2022 0:00,39N5vR34gp,09d4b3e1,8X5EJG61Hk,2269.1,,,
0358eaf9,13/1/2022 0:00,g084484ZO9,fdb0e910,8X5EJG61Hk,688,,,
35036617,13/1/2022 0:00,79hR9tOBwB,f4fe6ff4,8X5EJG61Hk,586,,,
b47ec6a8,14/1/2022 0:00,b911b807,0ec522ee,3E98Omn83X,977.4,,,
b8d505e6,14/1/2022 0:00,1956cd18,76220112,3E98Omn83X,660,,,
08816f71,14/1/2022 0:00,5bdH431NVo,9064b2ce,8X5EJG61Hk,3214,,,
70d524d8,14/1/2022 0:00,lD89r7qsyL,ca3dd089,8X5EJG61Hk,1560,,,
e7badf7d,14/1/2022 0:00,5q282qed0R,377a5c65,,472,,,
9873a50f,14/1/2022 0:00,4I3HDTm7GG,f330997a,8X5EJG61Hk,483,,,
827ccf7d,17/1/2022 0:00,8qbgngVgJ0,d563af47,3E98Omn83X,468,,,
c127df63,17/1/2022 0:00,jpZSXU2A8V,783b9126,8X5EJG61Hk,111,,,
fb5152af,17/1/2022 0:00,jpZSXU2A8V,783b9126,8X5EJG61Hk,322,,,
e1797025,17/1/2022 0:00,vwjM9hSH4s,18b4fd12,,0,,,
ae76f8d9,17/1/2022 0:00,xEK6r63Cy3,ffbb13d1,3E98Omn83X,210,,,
4eb0421e,17/1/2022 0:00,673afc11,feed779a,,176,,,
0022ac40,17/1/2022 0:00,43fb1479,c3c939d6,8X5EJG61Hk,484,,,
6a126ca2,18/1/2022 0:00,4Yk09HecPy,3cd276da,8X5EJG61Hk,3572.02,,,
ea27d975,18/1/2022 0:00,X2ywZ9GnQE,a596491e,8X5EJG61Hk,5657.93,,,
fdf0451e,11/1/2022 0:00,HuraT82YGW,0e29525e,8X5EJG61Hk,918.4,,,
c633625a,18/1/2022 0:00,0fc805bf,bf82c3c0,3E98Omn83X,3864,,,
5796fbf0,19/1/2022 0:00,06suB5p2mX,3143c1a4,3E98Omn83X,460,,,
2421929e,19/1/2022 0:00,06suB5p2mX,3143c1a4,3E98Omn83X,378,,,
efb5e383,20/1/2022 0:00,2mBWQiax6J,4fc843f3,8X5EJG61Hk,5764,,,
eb411f58,20/1/2022 0:00,4WD4e3BQj1,be4c4f68,,4882,,,
23b9ab0d,20/1/2022 0:00,fvIH3Ur1DW,4971f5ed,8X5EJG61Hk,2905,,,
f700d8d5,21/1/2022 0:00,6AyX6y7B9p,cdab0f97,8X5EJG61Hk,3842,,,
17ecb354,21/1/2022 0:00,fEXeW6R1J3,9c4d8c2f,8X5EJG61Hk,776.2,,,
bc2c9f37,24/1/2022 0:00,1QjSD5K2L8,f3e3e096,3E98Omn83X,1193,,,
ae603a6c,24/1/2022 0:00,95be4153,f942aea8,,560,,,
d8ef8646,24/1/2022 0:00,ggx24SP0Ql,f8f99b32,8X5EJG61Hk,1670,,,
d8263659,24/1/2022 0:00,cc6c5bdc,8dc4b3cf,8X5EJG61Hk,803,,,
20e7d317,24/1/2022 0:00,jCh0R09xTJ,93248353,8X5EJG61Hk,648,,,
4461ee74,24/1/2022 0:00,vwjM9hSH4s,18b4fd12,,3349.5,,,
8582ab63,25/1/2022 0:00,j6v26jLuwm,67f30b6f,,2900,,,
717303ed,26/1/2022 0:00,53281641,1e9dcb0e,8X5EJG61Hk,838,,,
e605b506,26/1/2022 0:00,8Nzo71FGPE,dd03ed62,3E98Omn83X,3327,,,
408e05b5,27/1/2022 0:00,b48e8c5f,7e82d0bc,8X5EJG61Hk,429,,,
7329fcdc,27/1/2022 0:00,0d7dcda7,bb35ab37,8X5EJG61Hk,241,,,
