DO ID,DO date,Quotation ID,PO Key,Items List
c87c788c,14/1/2022,0ec522ee,b47ec6a8,8e9cdbb2
cae17ced,18/1/2022,cda6636f,75e0e647,6df4407a
1d6d12c5,18/1/2022,d3bdbd17,6cb2654a,"2a48e36b , e6d499b7 , 5cc8af70"
9eb02432,18/1/2022,0e29525e,fdf0451e,"54e217f1 , 6906a6b7 , 3c0a155f"
e2e12cda,24/1/2022,0e29525e,fdf0451e,f892dafe
356f474d,24/1/2022,09d4b3e1,0bf6f902,b6f6ac0b
f6621ced,24/1/2022,be4c4f68,eb411f58,d0d33a3e
1f6cd225,24/1/2022,1fddf80a,32daad68,f7bd0c3f
f0da4a70,25/1/2022,76220112,b8d505e6,283c6aa8
7df47353,25/1/2022,d563af47,827ccf7d,"b7a769f6 , 4faff90d , b8bedf0f"
505ded89,25/1/2022,09d4b3e1,0bf6f902,0660ac0c
c6ff2870,25/1/2022,d3bdbd17,6cb2654a,"426f5ff7 , da69d562 , 58fb4170"
a05b555a,26/1/2022,1fddf80a,32daad68,9580687b
30ba0d38,26/1/2022,4971f5ed,23b9ab0d,"eb15da7c , bc87dad7 , 6a4759b3"
46475975,26/1/2022,fdb0e910,0358eaf9,"3fee4415 , 4fd23e96"
722f7034,26/1/2022,09d4b3e1,0bf6f902,"3c6d1e18 , 5090d5ea , 04c5013a"
2daf83bd,26/1/2022,783b9126,fb5152af,"ba6d1594 , 21001035 , cff6082e , 1f696cae"
1dfcb2d4,26/1/2022,3143c1a4,2421929e,28240f06
643d59ab,28/1/2022,7506fc40,ca459200,4b821cfe
58676506,3/2/2022,783b9126,c127df63,0e7a441a
08a4d77a,3/2/2022,67f30b6f,8582ab63,939e0e04
e70e5d1b,3/2/2022,feed779a,4eb0421e,"b99f5434 , 6807ed24"
ab2ea5c4,3/2/2022,09d4b3e1,0bf6f902,441fe331
549ed0ab,4/2/2022,1fddf80a,32daad68,"65b11a9b , 65a8fcb0"
f32bdf70,4/2/2022,377a5c65,e7badf7d,"ea5220a2 , 02bf97d5 , c47f4dd7"
7f75b5dc,4/2/2022,ffbb13d1,ae76f8d9,901a34ff
e40ca79e,4/2/2022,bf82c3c0,c633625a,"54e66e4e , 820da3e9 , 72f81143 , 32e22b18 , 96cd5f1f , f8fd004a , 8270dcce"
2c093006,4/2/2022,be4c4f68,eb411f58,"8337f3fb , 02ca6378"
49bb6b48,4/2/2022,3cd276da,6a126ca2,"5f5019d8 , 2f3cee46 , 1f7e7d75 , 47a260c8 , 18959953 , d953a9ca , 751647d1 , 2c5a07d2 , 27d225b4"
9cce5ea8,4/2/2022,f330997a,9873a50f,494b7b6d
1beacb04,4/2/2022,c3c939d6,0022ac40,"e4ce6f53 , 10de157f , 11b5f174 , dc1f8f46 , f773cf27 , 7d6697e1 , c3c75bb0 , 0766848e , d976ea02 , f2651e4c , a8e8860a , 2a6c9591 , 84332afa , 07050db3 , 930a442b"
d75d5ecd,4/2/2022,bb35ab37,7329fcdc,27b35290
7563ee71,4/2/2022,a596491e,ea27d975,"3942b265 , ca98f376 , a6b6f94d , 9f5c75ed , b4cecb1f , e4a06edc , e25d8855 , 33d620a7 , 67cf7d64 , 7c889ca4 , 27dc556e , bf333ab9 , 1e22a3d4 , 60af7b16 , 7ce16c35 , a039e905 , afa5b1c0"
bc703612,4/2/2022,4fc843f3,efb5e383,"b3d0870b , 3f8a1568 , 62913d89 , d886d5a8"
31954f6e,7/2/2022,bf82c3c0,c633625a,cc079804
7cfa08de,7/2/2022,1e9dcb0e,717303ed,"c70216f9 , ae57f168"
f9f14345,7/2/2022,9064b2ce,08816f71,77d9a06e
85d2fc06,7/2/2022,dd8017be,9444fce4,"a5ee4c7b , 6331e56d"
486b394d,7/2/2022,bf82c3c0,c633625a,fdafc64e
c560de00,7/2/2022,18b4fd12,4461ee74,"963dd87f , 7b75bee1"
4d2c19df,7/2/2022,4fc843f3,efb5e383,"2cfbc2e8 , a59fe00d , 1a6d8469 , c8d20297 , d57675a0 , cc59460a , d4136f5c , 8d7b0167"
d73b0047,7/2/2022,3cd276da,6a126ca2,"23a985e0 , 191cdb1a"
7148dc6c,7/2/2022,a596491e,ea27d975,"db456f5c , 1fb03651 , 2bce57df , 8a4b39b7 , e842dc12 , d4d3b279 , b9ed31ca , e2472108 , 1543ee24 , 60b8b6f3 , 006dc09c , 71c78d07"
5b8c59e7,7/2/2022,be4c4f68,eb411f58,"99e6c303 , 54702efb , 2ff31bd3 , 749c76e4 , 08d91265 , cde31ea6"
b3641f7b,7/2/2022,c3c939d6,0022ac40,"3cab606d , 9879746c , b186bb95 , 6b03d0b7 , 7db0551a , 77edcc71 , 50b861ff"
384c5fe1,7/2/2022,f3e3e096,bc2c9f37,"4b9088da , c650932a"
051276dd,9/2/2022,9c4d8c2f,17ecb354,"5964f26c , 4a82a65e"
e6650a8a,9/2/2022,f942aea8,ae603a6c,"3db83dd3 , 7d00571e"
d02aa660,9/2/2022,81a39130,a1b114a0,"4963515c , 44420fa3 , 9680d475 , be0f173a , 89576adf , 6783648d , f28a9e63 , b874b4c6 , 76522499 , 76c13021 , e322c1c8 , 7303a2a0 , 3137f356 , 50ac11cb , 27086b2d"
0b3c0d6a,10/2/2022,4971f5ed,23b9ab0d,f0619a68
440b5153,11/2/2022,09d4b3e1,0bf6f902,"b4bbf440 , 813f54e2 , bde56ea7 , 930de317 , c21d200d"
eaedd6e3,11/2/2022,3cd276da,6a126ca2,"85a6887a , d23f2674 , 350317c3 , e5f077b5 , 2a6afd4b , cda4c060 , d9a1e1b0"
b6626008,11/2/2022,18b4fd12,4461ee74,"fec548a0 , ee94d017"
dac3a50f,11/2/2022,d3bdbd17,6cb2654a,93abd45e
e1716d21,14/2/2022,a1cb2249,521c1273,"896bb941 , a221e184"
7cad47b8,17/2/2022,f4fe6ff4,35036617,"0c1b72aa , d18922ba"
9a63fb24,18/2/2022,f3e3e096,bc2c9f37,9638dd4f
704b5d2f,23/2/2022,7a38d6a4,c7a74cfa,2831254b
d05df5ee,23/2/2022,1aaa3cfa,3c078d56,"9dc1c991 , d9ecb032"
764c2ce9,23/2/2022,9aaa13e0,f23f65bf,"b94616e6 , ac0e9662 , 447538ac"
c4a1d663,23/2/2022,43b5cac0,b71ce702,"2b32ac64 , 57367152 , bd414324 , a5302fa2 , 3876c680 , 5108247f , fc57afbb , 9e3498f8 , 89d5d3f7"
4f64ad25,23/2/2022,ef679a3c,e0300fad,"0e6161c9 , 3deb37aa , bee76fd0 , dbfb9705 , 50b19a61 , 2fbf871e , 42e5db9e , 55a91d34"
b9ce7ad2,23/2/2022,802e8ad0,4aad84b6,72acb79b
7ba1eb36,23/2/2022,ca3dd089,70d524d8,"64ee6729 , 45cb0f61 , 072e6ee6 , d08a11cd , 9ba7ba0a"
b92ac31a,23/2/2022,4971f5ed,23b9ab0d,"017d0c06 , 6830a1a8"
09a8b9fc,23/2/2022,f3e3e096,bc2c9f37,"8b9f9932 , b154abee"
74b3862f,23/2/2022,3143c1a4,2421929e,9679d68d
dbf097e4,23/2/2022,3143c1a4,5796fbf0,435033cf
8bab8369,23/2/2022,89791c50,823988f5,"1da048c7 , c032f382"
41bf86f3,23/2/2022,67f30b6f,8582ab63,"1d3a1e89 , 870ce867"
1ee23818,24/2/2022,23a12a7a,ea50e317,55524c47
3207b175,24/2/2022,90fc6023,d29fc2f9,048c6e11
1f6ff5e5,24/2/2022,da892ca6,ecd98130,6f6373cf
6c8a7455,24/2/2022,f8f99b32,d8ef8646,a9a58e41
f9741ad1,24/2/2022,edbc8c05,4f4b4ac9,bcff263e
6fea562a,25/2/2022,cc700de6,fbdcc4d7,"283f4736 , fe758338 , e0eaea6c , 48a79be3 , 3aae64d3 , f0275477 , f514313f , db66e08d , f94ecdbd , df247cd0 , 49abf06a , ea582064 , c921298e , 5591936c , 203a85c2 , 84cf66db , 810744d1 , 70113971"
c8cd2ad5,25/2/2022,9ededc84,3dbc5283,"79e0669a , f70f9a57"
9aeaa93d,25/2/2022,c54446f0,154583b2,818b30f4
5e270b3b,25/2/2022,9aaa13e0,f23f65bf,21b853f8
4467ddfe,25/2/2022,67f30b6f,8582ab63,"4025e4a7 , e37996d3"
2e07b353,28/2/2022,9227f120,a070b41e,c288e5c7
1eb06a36,28/2/2022,9a68c471,8c95ada4,7cff3666
d7305bf6,28/2/2022,765b4efb,0221f0d8,"5a5cb472 , 53dbc817 , 1a5ef80d , 806068b0 , 295c96f6 , e9b84bcb"
e7bd2443,28/2/2022,0010cc5a,6fe891cf,f5e6d6b5
84bf286f,28/2/2022,f0b6c447,67b80c7c,"9f524f7f , ffb6e0cb , d040cd71"
124444cf,1/3/2022,802e8ad0,4aad84b6,eca86847
d5a77c25,2/3/2022,c43bbd41,8b07faa1,7153349a
2b47a93a,2/3/2022,93248353,20e7d317,00024a32
e17271a3,2/3/2022,0bc787a2,212942b9,616381b3
561d9b5f,2/3/2022,8dc4b3cf,d8263659,"96fd5d0e , f71a637f"
3547b46d,2/3/2022,cc700de6,fbdcc4d7,"f7e88414 , 660f623e"
4cb865ef,3/3/2022,688f4e1e,d7e28087,"7f306750 , ff684a59 , 34dd5489"
